feature,coefficient,odds_ratio,absolute_coefficient
periventricular_mri,1.7530671006983507,5.772279716666434,1.7530671006983507
oligoclonal_bands,1.3300670355789026,3.7812968604968797,1.3300670355789026
infratentorial_mri,1.226314482561212,3.408643741999857,1.226314482561212
mono_or_polysymptomatic,-1.0517216166329932,0.3493358087657062,1.0517216166329932
symptom_motor,1.0014179517948896,2.7221389550202324,1.0014179517948896
symptom_other,0.8329412911831018,2.300073988160423,0.8329412911831018
symptom_sensory,0.8131262302140352,2.254946460755519,0.8131262302140352
breastfeeding,-0.7166056947391888,0.488407248889719,0.7166056947391888
llssep,0.643133316412178,1.9024324732136635,0.643133316412178
symptom_visual,0.6173249518858879,1.8539619651022334,0.6173249518858879
schooling_(y),0.5828444612104403,1.791125980024719,0.5828444612104403
baep,-0.5247598964510445,0.5916974159620668,0.5247598964510445
gender,-0.5240534593761449,0.5921155606328841,0.5240534593761449
spinal_cord_mri,0.4882642273626366,1.6294853477113094,0.4882642273626366
cortical_mri,0.4800605159321572,1.6161722034010133,0.4800605159321572
varicella,-0.36271500343313345,0.6957847014961085,0.36271500343313345
vep,0.28673025049680656,1.3320648411784763,0.28673025049680656
age_(y),0.1869936533962613,1.2056196334355709,0.1869936533962613
ulssep,-0.1179703491576693,0.8887224035918158,0.1179703491576693
